name, #cases, avgTAT, avgWT, avgRT, nCS
SJF,5,50.799999,30.200001,30.200001,4
RR,5,61.000000,40.400002,40.400002,4
DRRHA,5,58.400002,37.799999,23.000000,11
MDRRHA,5,58.400002,37.799999,23.000000,11
NDRRHA,5,50.799999,30.200001,30.200001,6
HRRNHA,5,61.000000,40.400002,40.400002,5
SJF,6,35.200001,17.000000,17.000000,4
RR,6,38.799999,20.600000,20.600000,4
DRRHA,6,35.200001,17.000000,17.000000,7
MDRRHA,6,37.000000,18.799999,15.200000,7
NDRRHA,6,35.200001,17.000000,17.000000,5
HRRNHA,6,38.799999,20.600000,20.600000,6
