name, #cases, avgTAT, avgWT, avgRT, nCS
SJF,10,936.799988,718.900024,718.900024,9
RR,10,1575.699951,1357.800049,39.500000,221
DRRHA,10,1010.299988,792.400024,630.900024,21
MDRRHA,10,997.400024,779.500000,627.900024,15
NDRRHA,10,936.799988,718.900024,718.900024,10
HRRNHA,10,1122.500000,904.599976,904.599976,10
SJF,50,3637.399902,3437.620117,3437.620117,49
RR,50,6967.399902,6767.620117,239.580002,1024
DRRHA,50,4369.600098,4169.819824,2520.379883,97
MDRRHA,50,4339.700195,4139.919922,2581.340088,96
NDRRHA,50,4048.199951,3848.419922,2879.879883,64
HRRNHA,50,4418.819824,4219.040039,3673.260010,58
SJF,100,7632.529785,7425.000000,7425.000000,99
RR,100,14972.009766,14764.480469,489.350006,2126
DRRHA,100,9353.879883,9146.349609,5503.299805,196
MDRRHA,100,9241.660156,9034.129883,5731.770020,194
NDRRHA,100,8479.009766,8271.480469,6323.830078,125
HRRNHA,100,9003.349609,8795.820312,6975.899902,121
SJF,150,10504.946289,10306.853516,10306.853516,149
RR,150,20706.273438,20508.179688,739.346680,3046
DRRHA,150,12934.919922,12736.827148,7380.293457,306
MDRRHA,150,12843.833008,12645.740234,7725.066895,292
NDRRHA,150,11981.759766,11783.666992,8781.593750,191
HRRNHA,150,12563.693359,12365.599609,9583.653320,184
SJF,200,14802.025391,14594.349609,14594.349609,199
RR,200,29298.185547,29090.509766,989.510010,4250
DRRHA,200,18171.195312,17963.519531,10549.589844,408
MDRRHA,200,18116.945312,17909.269531,10817.599609,397
NDRRHA,200,16637.199219,16429.525391,12462.809570,250
HRRNHA,200,17177.830078,16970.154297,13678.865234,242
SJF,250,18419.576172,18209.896484,18209.896484,249
RR,250,36541.578125,36331.898438,1239.463989,5360
DRRHA,250,22870.175781,22660.496094,12923.335938,519
MDRRHA,250,22713.164062,22503.484375,13271.524414,503
NDRRHA,250,19843.072266,19633.392578,16260.503906,292
HRRNHA,250,21637.716797,21428.035156,16431.640625,309
SJF,300,22121.859375,21912.244141,21912.244141,299
RR,300,43892.171875,43682.554688,1489.466675,6424
DRRHA,300,27365.222656,27155.607422,15527.696289,610
MDRRHA,300,27248.367188,27038.750000,15893.950195,596
NDRRHA,300,24247.136719,24037.519531,19256.527344,359
HRRNHA,300,25594.820312,25385.203125,19622.326172,368
SJF,350,25186.074219,24980.375000,24980.375000,349
RR,350,50005.394531,49799.695312,1739.388550,7360
DRRHA,350,30905.796875,30700.097656,17944.652344,695
MDRRHA,350,30972.093750,30766.394531,18017.611328,693
NDRRHA,350,27543.431641,27337.730469,21773.939453,433
HRRNHA,350,29233.689453,29027.988281,22461.691406,426
SJF,400,28960.554688,28753.828125,28753.828125,399
RR,400,57552.238281,57345.511719,1989.415039,8453
DRRHA,400,35603.449219,35396.722656,20632.470703,805
MDRRHA,400,35478.781250,35272.054688,20828.572266,792
NDRRHA,400,32052.601562,31845.875000,25063.482422,479
HRRNHA,400,34049.789062,33843.062500,26158.437500,491
SJF,450,32684.964844,32476.966797,32476.966797,449
RR,450,65122.187500,64914.187500,2239.453369,9565
DRRHA,450,40318.808594,40110.808594,23264.777344,898
MDRRHA,450,40189.867188,39981.871094,23565.996094,892
NDRRHA,450,35777.410156,35569.414062,27625.945312,553
HRRNHA,450,37487.183594,37279.183594,28520.935547,555
SJF,500,36064.167969,35857.054688,35857.054688,499
RR,500,71835.984375,71628.882812,2489.469971,10578
DRRHA,500,44292.265625,44085.156250,25811.062500,1004
MDRRHA,500,44339.144531,44132.031250,25897.300781,994
NDRRHA,500,39297.218750,39090.113281,31236.833984,602
HRRNHA,500,43489.902344,43282.792969,32704.466797,636
