name, #cases, avgTAT, avgWT, avgRT, nCS
SJF,5,48.200001,28.799999,28.799999,4
RR,5,50.599998,31.200001,31.200001,4
DRRHA,5,54.200001,34.799999,22.000000,10
MDRRHA,5,50.200001,30.799999,26.400000,7
NDRRHA,5,60.799999,41.400002,18.000000,8
HRRNHA,5,50.599998,31.200001,31.200001,5
SJF,6,107.199997,62.599998,62.599998,4
RR,6,173.199997,128.600006,75.199997,8
DRRHA,6,111.599998,67.000000,58.000000,8
MDRRHA,6,122.199997,77.599998,49.400002,10
NDRRHA,6,107.199997,62.599998,62.599998,6
HRRNHA,6,134.600006,90.000000,76.599998,6
SJF,7,52.333332,33.666668,33.666668,5
RR,7,60.000000,41.333332,41.333332,5
DRRHA,7,56.833332,38.166668,26.666666,11
MDRRHA,7,59.000000,40.333332,27.666666,11
NDRRHA,7,52.333332,33.666668,33.666668,6
HRRNHA,7,60.000000,41.333332,41.333332,6
